Talk_2021.8.24 13:10-15.txt
저장한 날짜 : 2021. 8. 24. 13:11



2018년 5월 28일 월요일
2018. 5. 28. 16:03, (알 수 없음) : 11일밤에갈까
2018. 5. 28. 16:04, (알 수 없음) : 시험치고 바로떠나버려~
2018. 5. 28. 16:04, (알 수 없음) : 아
2018. 5. 28. 16:04, (알 수 없음) : 미친
2018. 5. 28. 16:04, (알 수 없음) : 12일발표구나
2018. 5. 28. 16:04, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미안;
2018. 5. 28. 16:04, (알 수 없음) : 12일발표하고떠나버려
2018. 5. 28. 16:04, 경민 : 그러면
2018. 5. 28. 16:04, 경민 : 휴가를
2018. 5. 28. 16:04, 경민 : 몇개나써야하냐
2018. 5. 28. 16:04, 경민 : ;;
2018. 5. 28. 16:04, 경민 : 사실
2018. 5. 28. 16:04, (알 수 없음) : 13일
2018. 5. 28. 16:04, (알 수 없음) : 빨간날임
2018. 5. 28. 16:04, 경민 : 안바쁘면상관없는데
2018. 5. 28. 16:04, 정우 : 빠빠빨간날
2018. 5. 28. 16:04, 경민 : ㅈ눈치좀보임
2018. 5. 28. 16:04, 경민 : 6월에
2018. 5. 28. 16:04, (알 수 없음) : 12일까지 너 갔따와서 13일 빨간날임
2018. 5. 28. 16:04, 정우 : 마카오허니
2018. 5. 28. 16:04, 경민 : vip epahdutj
2018. 5. 28. 16:04, (알 수 없음) : 14/15정도만
2018. 5. 28. 16:04, (알 수 없음) : 해도 충분
2018. 5. 28. 16:04, (알 수 없음) : ;
2018. 5. 28. 16:04, (알 수 없음) : 그럼
2018. 5. 28. 16:04, (알 수 없음) : 토요일임
2018. 5. 28. 16:04, 경민 : 쫍
2018. 5. 28. 16:04, (알 수 없음) : ㅇ지려뻐린다
2018. 5. 28. 16:05, (알 수 없음) : 어나
2018. 5. 28. 16:05, (알 수 없음) : 뱅기근데공짜임
2018. 5. 28. 16:05, 경민 : 왜
2018. 5. 28. 16:05, (알 수 없음) : 타고가서만나도되냐
2018. 5. 28. 16:05, (알 수 없음) : 대한항공마일리지있어서
2018. 5. 28. 16:05, 경민 : ㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:05, 경민 : 아하
2018. 5. 28. 16:05, 정우 : 금수저
2018. 5. 28. 16:05, 정우 : 지렸당
2018. 5. 28. 16:05, 경민 : 나는복포로하면
2018. 5. 28. 16:05, 경민 : 댐
2018. 5. 28. 16:05, (알 수 없음) : 복포가머임
2018. 5. 28. 16:05, (알 수 없음) : 같이가면 
2018. 5. 28. 16:05, (알 수 없음) : 대한항공
2018. 5. 28. 16:05, 경민 : 복지포인트
2018. 5. 28. 16:05, 경민 : 회사
2018. 5. 28. 16:05, (알 수 없음) : 라운지간다
2018. 5. 28. 16:05, (알 수 없음) : 고
2018. 5. 28. 16:05, 경민 : 나
2018. 5. 28. 16:05, (알 수 없음) : 2년에 4번밖에 못가
2018. 5. 28. 16:05, 경민 : pp카드
2018. 5. 28. 16:05, 경민 : 신청하면
2018. 5. 28. 16:05, 경민 : 댐
2018. 5. 28. 16:05, (알 수 없음) : 난그럼
2018. 5. 28. 16:05, (알 수 없음) : 넌그럼
2018. 5. 28. 16:05, (알 수 없음) : 너알아서
2018. 5. 28. 16:05, (알 수 없음) : !
2018. 5. 28. 16:05, (알 수 없음) : 빼스
2018. 5. 28. 16:05, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:05, (알 수 없음) : 이정우시험기간
2018. 5. 28. 16:05, 정우 : 나 질문
2018. 5. 28. 16:05, (알 수 없음) : 언제임
2018. 5. 28. 16:05, (알 수 없음) : ?
2018. 5. 28. 16:05, 정우 : 님들진짜감?
2018. 5. 28. 16:05, (알 수 없음) : 왜
2018. 5. 28. 16:06, (알 수 없음) : 홍콩은
2018. 5. 28. 16:06, (알 수 없음) : 2일전에
2018. 5. 28. 16:06, (알 수 없음) : 표끊었는데
2018. 5. 28. 16:06, (알 수 없음) : 와이낫
2018. 5. 28. 16:06, 정우 : 하긴
2018. 5. 28. 16:06, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
