Talk_2021.8.24 13:10-25.txt
저장한 날짜 : 2021. 8. 24. 13:11



2018년 9월 17일 월요일
2018. 9. 17. 23:19, (알 수 없음) : 두유노?
2018. 9. 17. 23:20, (알 수 없음) : 얼유커밍?
2018. 9. 17. 23:20, 원준오빠 : reasonalble
2018. 9. 17. 23:20, 원준오빠 : 버뜨
2018. 9. 17. 23:20, (알 수 없음) : yes
2018. 9. 17. 23:20, 원준오빠 : 아니해브 선약 윋
2018. 9. 17. 23:20, (알 수 없음) : 휴
2018. 9. 17. 23:20, (알 수 없음) : 후
2018. 9. 17. 23:20, 원준오빠 : 성성프렌즈
2018. 9. 17. 23:20, 원준오빠 : 합석?
2018. 9. 17. 23:20, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 17. 23:20, Sekwang Ludan : 비지 맨~~
2018. 9. 17. 23:20, (알 수 없음) : 아
2018. 9. 17. 23:20, (알 수 없음) : 합쳐합쳐
2018. 9. 17. 23:20, 원준오빠 : 오야붕 신봉자들
2018. 9. 17. 23:20, (알 수 없음) : 그럼
2018. 9. 17. 23:20, (알 수 없음) : 바로합치면되지
2018. 9. 17. 23:20, (알 수 없음) : 오야붕도옴
2018. 9. 17. 23:20, 원준오빠 : 옼케
2018. 9. 17. 23:20, (알 수 없음) : 이모티콘 
2018. 9. 17. 23:20, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋㅋ 에이맨
2018. 9. 17. 23:20, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 17. 23:20, (알 수 없음) : 21일도른날
2018. 9. 17. 23:20, (알 수 없음) : 예약이네...
2018. 9. 17. 23:20, 정우 : 난장판
2018. 9. 17. 23:20, 원준오빠 : 하
2018. 9. 17. 23:20, 정우 : ㄹㅇ
2018. 9. 17. 23:20, (알 수 없음) : 알유21먹어야징...
2018. 9. 17. 23:20, 원준오빠 : 레알
2018. 9. 17. 23:20, 정우 : 안봐도비디오
2018. 9. 17. 23:20, (알 수 없음) : 토개할각
2018. 9. 17. 23:20, 원준오빠 : 나 강아지 나오는거 아닌가몰라
2018. 9. 17. 23:20, (알 수 없음) : 알유21먹으니까 토개하던데
2018. 9. 17. 23:21, Sekwang Ludan : 투에니원~~
2018. 9. 17. 23:21, (알 수 없음) : 나
2018. 9. 17. 23:21, 원준오빠 : 21일에ㅜ알유21에 청하보고 청하마시고
2018. 9. 17. 23:21, (알 수 없음) : 그
2018. 9. 17. 23:21, (알 수 없음) : 이석준이랑
2018. 9. 17. 23:21, 원준오빠 : 도랏네 그날
2018. 9. 17. 23:21, (알 수 없음) : 형이랑
2018. 9. 17. 23:21, (알 수 없음) : 술먹은날
2018. 9. 17. 23:21, 원준오빠 : ㅇㅇ
2018. 9. 17. 23:21, (알 수 없음) : 응 2일전
2018. 9. 17. 23:21, (알 수 없음) : 개토함
2018. 9. 17. 23:21, (알 수 없음) : !
2018. 9. 17. 23:21, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 17. 23:21, (알 수 없음) : 그담날그래서어리를빗갠찮더라고
2018. 9. 17. 23:21, 원준오빠 : ㅊㅋㅊㅋ
2018. 9. 17. 23:21, (알 수 없음) : ㄱㅅㄱㅅ
2018. 9. 17. 23:21, (알 수 없음) : 그래서하나더사놧는데
2018. 9. 17. 23:21, 원준오빠 : 앞으로 계속 드셈
2018. 9. 17. 23:21, (알 수 없음) : 21일에바로쓰게생겻넵
2018. 9. 17. 23:21, 원준오빠 : 올
2018. 9. 17. 23:21, (알 수 없음) : 그니까
2018. 9. 17. 23:21, (알 수 없음) : 10월2일날쓸려고사둔건뎁
2018. 9. 17. 23:21, 원준오빠 : 21일에 쓰면
2018. 9. 17. 23:21, 원준오빠 : 효과 두배
2018. 9. 17. 23:22, 원준오빠 : ㄱㄱ
2018. 9. 17. 23:26, (알 수 없음) : 옼께이
2018. 9. 17. 23:26, (알 수 없음) : 뒤젓다..
2018. 9. 17. 23:26, (알 수 없음) : 토개할듯
2018. 9. 17. 23:26, (알 수 없음) : 근데리얼토가술술술나오던데
2018. 9. 17. 23:26, (알 수 없음) : 화장실깨끗한대로가자
2018. 9. 17. 23:28, (알 수 없음) : 아벌써신나벌여...
2018. 9. 17. 23:28, 정우 : 조졌다
2018. 9. 17. 23:28, 정우 : 개신난다
2018. 9. 17. 23:28, 정우 : 유후
2018. 9. 17. 23:33, (알 수 없음) : 싄나싄나
2018. 9. 17. 23:33, (알 수 없음) : 아이제
2018. 9. 17. 23:33, (알 수 없음) : 개강한지한달됏으니까
2018. 9. 17. 23:33, (알 수 없음) : 바른삶시작한다
2018. 9. 17. 23:34, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ8시30분기상지킴이제
2018. 9. 17. 23:34, (알 수 없음) : 이모티콘 
2018. 9. 17. 23:34, (알 수 없음) : 이정우나학교가면마중나와주셈;
2018. 9. 17. 23:34, (알 수 없음) : 길가다가아는애만나면5천퍼쪽팔릴각
2018. 9. 17. 23:35, 정우 : ㅇㅋ
2018. 9. 17. 23:35, 정우 : 나가드림
2018. 9. 17. 23:35, 정우 : 근데
