Talk_2021.8.24 13:11-36.txt
저장한 날짜 : 2021. 8. 24. 13:11



2019년 2월 17일 일요일
2019. 2. 17. 21:33, Sekwang Ludan : 라틴 뮤직!!!!
2019. 2. 17. 21:36, 경민 : ㅋㅋㅋ
2019. 2. 17. 21:36, 경민 : 개웃김 ㅠㅠ
2019. 2. 17. 21:36, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋ 분위기 쩔지 않냐능?
2019. 2. 17. 21:37, (알 수 없음) : 잘돌아다니네
2019. 2. 17. 21:37, 경민 : 누구랑감
2019. 2. 17. 21:38, Sekwang Ludan : ㅋㅋㅋㅋㅋ 세르비아 친구...
2019. 2. 17. 22:36, 정우 : 아
2019. 2. 17. 22:36, 정우 : 오늘은
2019. 2. 17. 22:36, 정우 : 공부삘이아니다
2019. 2. 17. 22:36, (알 수 없음) : ㄱ
2019. 2. 17. 22:37, 정우 : 오늘끝
2019. 2. 17. 22:37, (알 수 없음) : 끝
2019. 2. 17. 22:37, 정우 : 그래도 5시간정도는 한거같은데
2019. 2. 17. 22:37, 정우 : 이정도면 뭐
2019. 2. 17. 22:37, (알 수 없음) : 나도내일부터한다
2019. 2. 17. 22:37, (알 수 없음) : 개열심히
2019. 2. 17. 22:37, (알 수 없음) : 한다
2019. 2. 17. 22:37, 정우 : ㄹㅇ
2019. 2. 17. 22:37, (알 수 없음) : 고
2019. 2. 17. 22:37, 정우 : 나도
2019. 2. 17. 22:37, 정우 : 내일
2019. 2. 17. 22:37, 정우 : 헬스장도 쉬는날
2019. 2. 17. 22:37, 정우 : 공부데이다 내일
2019. 2. 17. 22:37, (알 수 없음) : 샵검색: #스타일러
2019. 2. 17. 22:37, (알 수 없음) : 고
2019. 2. 17. 22:37, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 17. 22:37, 정우 : 고
2019. 2. 17. 22:38, 정우 : 어제입은거 싹다스타일러돌림
2019. 2. 17. 22:38, 정우 : ㅎ
2019. 2. 17. 22:38, (알 수 없음) : 진짜
2019. 2. 17. 22:38, 정우 : 아근데진짜
2019. 2. 17. 22:38, 정우 : 좋다
2019. 2. 17. 22:38, (알 수 없음) : 그이까
2019. 2. 17. 22:38, 정우 : 일단 바지
2019. 2. 17. 22:38, (알 수 없음) : 나만없어
2019. 2. 17. 22:38, 정우 : 청바지같은거
2019. 2. 17. 22:38, 정우 : 빨필요가없다 이제
2019. 2. 17. 22:38, (알 수 없음) : ㄹㅇ
2019. 2. 17. 22:38, (알 수 없음) : 개좋네
2019. 2. 17. 22:38, 정우 : 원래도
2019. 2. 17. 22:38, (알 수 없음) : ㅁㅊ...산다내일
2019. 2. 17. 22:38, 정우 : 색빠지고
2019. 2. 17. 22:38, 정우 : 줄어드는거 싫었는데
2019. 2. 17. 22:38, (알 수 없음) : 원래바지빨래잘안하자나
2019. 2. 17. 22:38, (알 수 없음) : ㅇㅇ
2019. 2. 17. 22:38, 정우 : 노걱정
2019. 2. 17. 22:38, 정우 : ㅇㅇ
2019. 2. 17. 22:38, (알 수 없음) : 아
2019. 2. 17. 22:38, 정우 : 진짜 내돈아니니까
2019. 2. 17. 22:38, (알 수 없음) : 내일삼
2019. 2. 17. 22:38, 정우 : 강추한다
2019. 2. 17. 22:38, (알 수 없음) : 엄마아빠오면
2019. 2. 17. 22:38, (알 수 없음) : 놀라겟지
