Talk_2021.8.24 13:11-47.txt
저장한 날짜 : 2021. 8. 24. 13:12



2019년 7월 13일 토요일
2019. 7. 13. 22:14, 정우 : 들어감
2019. 7. 13. 22:15, 부그뷰 : 오재?
2019. 7. 13. 22:17, 부그뷰 : 오재
2019. 7. 13. 22:17, 부그뷰 : 오오오오오재
2019. 7. 13. 22:17, 정우 : ㅎㅇ
2019. 7. 13. 22:18, (알 수 없음) : ㅎㅇㅎㅇ
2019. 7. 13. 22:18, 부그뷰 : 들려?
2019. 7. 13. 22:18, (알 수 없음) : 운
2019. 7. 13. 22:18, 정우 : 난지금 소리꺼놔서
2019. 7. 13. 22:18, (알 수 없음) : ㄱㄱㄱㄱㄱ
2019. 7. 13. 22:19, (알 수 없음) : 근데
2019. 7. 13. 22:19, (알 수 없음) : 말개작아
2019. 7. 13. 22:19, (알 수 없음) : 안들려
2019. 7. 13. 22:19, (알 수 없음) : ㄱㅇㅇㅇㅇㅇ
2019. 7. 13. 22:19, (알 수 없음) : ㅡㅡ
2019. 7. 13. 22:19, 정우 : 아니 집가는데
2019. 7. 13. 22:19, (알 수 없음) : 말크게해쥬세요
2019. 7. 13. 22:19, 정우 : 뭔카페가 벌써닫냐
2019. 7. 13. 22:19, 정우 : 했는데
2019. 7. 13. 22:19, (알 수 없음) : ㅍㅍ
2019. 7. 13. 22:19, 정우 : 열시넘었네
2019. 7. 13. 22:19, (알 수 없음) : 아하
2019. 7. 13. 22:19, 정우 : 쩝
2019. 7. 13. 22:20, 정우 : 고양ㅇ다
2019. 7. 13. 22:20, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 13. 22:20, (알 수 없음) : 또트름할거냐
2019. 7. 13. 22:20, 정우 : 77ㅓ억
2019. 7. 13. 22:21, (알 수 없음) : ㅁㅊ
2019. 7. 13. 22:21, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 13. 22:21, (알 수 없음) : 도라이야
2019. 7. 13. 22:22, (알 수 없음) : 공부
2019. 7. 13. 22:22, (알 수 없음) : 아니
2019. 7. 13. 22:22, (알 수 없음) : 두개사운드가헷갈려
2019. 7. 13. 22:22, (알 수 없음) : 부경보랑
2019. 7. 13. 22:22, (알 수 없음) : 정동민이랑
2019. 7. 13. 22:22, (알 수 없음) : 둘다방송중이라
2019. 7. 13. 22:22, (알 수 없음) : 동시청취하는데
2019. 7. 13. 22:22, (알 수 없음) : 목소리박혀서
2019. 7. 13. 22:22, (알 수 없음) : ㅠ
2019. 7. 13. 22:23, (알 수 없음) : 대쥬대쥬
2019. 7. 13. 22:23, (알 수 없음) : 아니
2019. 7. 13. 22:23, (알 수 없음) : ㅠ
2019. 7. 13. 22:23, (알 수 없음) : 이정우오면
