Talk_2021.8.24 13:11-58.txt
저장한 날짜 : 2021. 8. 24. 13:12



2019년 11월 27일 수요일
2019. 11. 27. 14:35, (알 수 없음) : 환기필요
2019. 11. 27. 14:37, 원준오빠 : 샵검색: #환기장군
2019. 11. 27. 14:37, (알 수 없음) : 형
2019. 11. 27. 14:37, (알 수 없음) : 아오늘집중안됨
2019. 11. 27. 14:37, (알 수 없음) : 어케생각함
2019. 11. 27. 14:41, 원준오빠 : ㅇㅈ함
2019. 11. 27. 14:42, 원준오빠 : 겨울왕국 예매하셈
2019. 11. 27. 14:42, 원준오빠 : 머쉬베놈은 왜케 시험 떨어진 얘기 많이함
2019. 11. 27. 14:42, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 14:42, (알 수 없음) : 머쉬베놈근데 뭔뜻임
2019. 11. 27. 14:42, (알 수 없음) : 뭐 쉬베놈아
2019. 11. 27. 14:42, (알 수 없음) : 이런거임?
2019. 11. 27. 14:43, (알 수 없음) : 이미
2019. 11. 27. 14:43, (알 수 없음) : 딴거예매해서
2019. 11. 27. 14:43, (알 수 없음) : 내일은머리하러가야쥐,,밤에
2019. 11. 27. 14:43, 원준오빠 : 버섯독 아님?
2019. 11. 27. 14:43, 원준오빠 : ㅠ
2019. 11. 27. 14:43, 원준오빠 : 나를차지조?
2019. 11. 27. 14:45, (알 수 없음) : ㅇㅇ
2019. 11. 27. 14:45, (알 수 없음) : 아
2019. 11. 27. 14:45, (알 수 없음) : 버섯독잉구나
2019. 11. 27. 14:45, (알 수 없음) : ㅎㅎ;
2019. 11. 27. 14:45, (알 수 없음) : 머 쉬베놈아
2019. 11. 27. 14:45, (알 수 없음) : 인줄;
2019. 11. 27. 14:45, (알 수 없음) : 햐
2019. 11. 27. 14:47, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 14:47, 원준오빠 : 그럴지도,,
2019. 11. 27. 14:48, (알 수 없음) : 호럴럴럴
2019. 11. 27. 14:54, 원준오빠 : 쀼잉쀼잉쀼뮤뷰뷰뷰
2019. 11. 27. 15:08, 원준오빠 : 샵검색: #다 타
2019. 11. 27. 15:08, 원준오빠 : 좋넴 키키
2019. 11. 27. 15:20, 원준오빠 : 가끔 워드 작업하다 보면
2019. 11. 27. 15:20, 원준오빠 : 스페이스바 한칸 띄웠을 뿐인데 막
2019. 11. 27. 15:20, 원준오빠 : 시    불     왜     이     럼
2019. 11. 27. 15:21, 원준오빠 : 이거처럼 막 점핑 되는건 왜 이러는 거임?
2019. 11. 27. 15:22, (알 수 없음) : 형의 손은 눈보다 빠르기때문에
2019. 11. 27. 15:22, (알 수 없음) : 형도모르게 4번띄운거임
2019. 11. 27. 15:22, 원준오빠 : 아하
2019. 11. 27. 15:22, 재환오빠 : 키보드 스페이스 고장이지뭐
2019. 11. 27. 15:22, (알 수 없음) : ㅎ,,ㅎ
2019. 11. 27. 15:22, 재환오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 15:22, (알 수 없음) : 와 나 처음으로
2019. 11. 27. 15:22, (알 수 없음) : 라인 인테그럴 쓰이는거 실제로 봄
2019. 11. 27. 15:23, (알 수 없음) : 수학과쓸모있네;
2019. 11. 27. 15:23, (알 수 없음) : ㅎㅇ
2019. 11. 27. 15:23, 원준오빠 : 박사들이 한 말이라
2019. 11. 27. 15:23, 원준오빠 : 신뢰가 가네
2019. 11. 27. 15:23, (알 수 없음) : 개꿀
2019. 11. 27. 15:23, (알 수 없음) : 라인 인테그랄 나옴
2019. 11. 27. 15:23, 원준오빠 : 라인 인테그럴 뭐여
2019. 11. 27. 15:23, (알 수 없음) : 다변수함수에서
2019. 11. 27. 15:23, 원준오빠 : 컨투어 인테그럴?
2019. 11. 27. 15:23, (알 수 없음) : 그린띠오름
2019. 11. 27. 15:23, (알 수 없음) : conservative field
2019. 11. 27. 15:23, (알 수 없음) : path independent
2019. 11. 27. 15:23, 원준오빠 : 오 그린띠
2019. 11. 27. 15:23, (알 수 없음) : 이런거;
2019. 11. 27. 15:23, 빠충 : 사진
2019. 11. 27. 15:23, (알 수 없음) : 2학년때이런거배우면서
2019. 11. 27. 15:23, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 15:23, (알 수 없음) : 대체어쩌라는건가싶었는데
2019. 11. 27. 15:23, (알 수 없음) : 여전히 왜쓰는지모르겠지만
2019. 11. 27. 15:23, (알 수 없음) : 쓰이네
2019. 11. 27. 15:23, (알 수 없음) : 핳하하핳핳하핳
2019. 11. 27. 15:24, 원준오빠 : ㅊㅋㅊㅋ
2019. 11. 27. 15:24, (알 수 없음) : ㄱㅅㄱㅅ
2019. 11. 27. 15:24, 원준오빠 : 닉값 했네
2019. 11. 27. 15:24, (알 수 없음) : 간만에공부좀했다
2019. 11. 27. 15:24, 원준오빠 : ㅊㅋㅊㅋ
2019. 11. 27. 15:25, 원준오빠 : 이거 넘 불편행
2019. 11. 27. 15:25, 빠충 : 저거 그거 아님?
2019. 11. 27. 15:25, 빠충 : 양쪽정렬
2019. 11. 27. 15:25, 빠충 : 돼있어서
2019. 11. 27. 15:25, 빠충 : 왼쪽정렬하면 안 그럴걸
2019. 11. 27. 15:25, 재환오빠 : 기계식키보드임?
2019. 11. 27. 15:26, 재환오빠 : 무접점이거나 기계식이면 ㄹㅇ 스페이스바 문제임
2019. 11. 27. 15:26, (알 수 없음) : 아니면 막 한영 변환이랑 스페이스를 같이 눌렀는데
2019. 11. 27. 15:26, (알 수 없음) : 그게 갑자기 일본어로 튀어서
2019. 11. 27. 15:26, (알 수 없음) : 일본어 스페이스 일수도있음
2019. 11. 27. 15:26, (알 수 없음) : 개큼
2019. 11. 27. 15:26, 원준오빠 : 아니 이럴 때 있자나
2019. 11. 27. 15:26, 원준오빠 : 동영상
2019. 11. 27. 15:27, (알 수 없음) : 아 저거는
2019. 11. 27. 15:27, (알 수 없음) : 영단어 라인 맞추는거
2019. 11. 27. 15:27, 빠충 : 정렬문제네
2019. 11. 27. 15:27, (알 수 없음) : ㅇㅇ,,
2019. 11. 27. 15:27, 원준오빠 : 어케 해경함?
2019. 11. 27. 15:27, (알 수 없음) : 하이픈으로 연결하게 바꾸는 설정이있나
2019. 11. 27. 15:28, (알 수 없음) : https://yango.tistory.com/166
2019. 11. 27. 15:28, 원준오빠 : 오호
2019. 11. 27. 15:28, 빠충 : 사진
2019. 11. 27. 15:28, 빠충 : 요렇게 돼있지 않음?
2019. 11. 27. 15:28, 원준오빠 : 어마저
2019. 11. 27. 15:28, 원준오빠 : 저샛기였구나
2019. 11. 27. 15:28, 원준오빠 : ㄱㅅㄱㅅ
2019. 11. 27. 15:28, 빠충 : 저거 왼쪽 정렬 하면 알아서 잘림
2019. 11. 27. 15:28, (알 수 없음) : 근데 보통
2019. 11. 27. 15:28, (알 수 없음) : 왼쪽으로 하면
2019. 11. 27. 15:29, (알 수 없음) : 오른쪽 안채워지고 밑으로내려가서
2019. 11. 27. 15:29, (알 수 없음) : 작업할때 하이픈으로 하지않음?
2019. 11. 27. 15:29, 빠충 : 몰라
2019. 11. 27. 15:29, 원준오빠 : 님들 워드 잘하눼
2019. 11. 27. 15:29, 원준오빠 : 하이픈 뭔데
2019. 11. 27. 15:29, 빠충 : 우리 학과는 왼정렬하는 게 기본이라
2019. 11. 27. 15:29, 빠충 : 하이픈이
2019. 11. 27. 15:29, (알 수 없음) : 형예시보면
2019. 11. 27. 15:29, 빠충 : 영단어 다음줄로 넘길때
2019. 11. 27. 15:29, 빠충 : 단어가 계속된다
2019. 11. 27. 15:29, 빠충 : 는 뜻임
2019. 11. 27. 15:29, (알 수 없음) : ㅇㅇ
2019. 11. 27. 15:30, (알 수 없음) : 'door chain' 이렇게 되어있어서 스페이스 단위로 되는데
2019. 11. 27. 15:30, (알 수 없음) : 걍 쭉 채울려면
2019. 11. 27. 15:30, 원준오빠 : 캬
2019. 11. 27. 15:30, (알 수 없음) : 'door ch-
ain'
2019. 11. 27. 15:30, (알 수 없음) : 이런식으로
2019. 11. 27. 15:30, 빠충 : 사진
2019. 11. 27. 15:30, (알 수 없음) : 와울
2019. 11. 27. 15:30, 빠충 : 여기서 loom-ing이 아니고
2019. 11. 27. 15:30, (알 수 없음) : ㅇㅇ저렇게 보통 쭉 채우니까
2019. 11. 27. 15:30, 원준오빠 : ㅋㅂ
