Talk_2021.8.24 13:11-67.txt
저장한 날짜 : 2021. 8. 24. 13:13



2020년 4월 22일 수요일
2020. 4. 22. 21:13, 이석준 : 2년계약...
2020. 4. 22. 21:14, (알 수 없음) : 더블랭크모먼트
2020. 4. 22. 21:14, (알 수 없음) : 사진
2020. 4. 22. 21:14, (알 수 없음) : 즐기실분구합니다^^
2020. 4. 22. 21:14, (알 수 없음) : 2년이면이사가란하네
2020. 4. 22. 21:14, 이석준 : 오피스텔이면
2020. 4. 22. 21:14, 이석준 : 거기도 떠들면 위험할수도
2020. 4. 22. 21:14, 원준오빠 : 시바
2020. 4. 22. 21:15, 원준오빠 : 저번에 떠든곳고 오피스텔
2020. 4. 22. 21:15, (알 수 없음) : 사진
2020. 4. 22. 21:15, (알 수 없음) : 핸갱은어때요?
2020. 4. 22. 21:15, (알 수 없음) : ~
2020. 4. 22. 21:15, 원준오빠 : 행강
2020. 4. 22. 21:15, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 21:15, 원준오빠 : 시바 ㅋㅋㅋㅋㅋ
2020. 4. 22. 21:15, (알 수 없음) : 사진
2020. 4. 22. 21:15, (알 수 없음) : 패티하실분~
2020. 4. 22. 21:16, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 21:16, 원준오빠 : 순쇠고기냐?
2020. 4. 22. 21:16, (알 수 없음) : ㅅㅂ
2020. 4. 22. 21:16, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 21:16, 이석준 : 오재 존나 신난거
2020. 4. 22. 21:16, 이석준 : 보니까
2020. 4. 22. 21:16, 이석준 : 개무섭네
2020. 4. 22. 21:16, (알 수 없음) : 아시발
2020. 4. 22. 21:16, (알 수 없음) : 신나니까
