Talk_2021.8.24 13:11-68.txt
저장한 날짜 : 2021. 8. 24. 13:13



2020년 5월 6일 수요일
2020. 5. 6. 08:43, (알 수 없음) : ㅊㅋㅊㅋㅊ
2020. 5. 6. 08:45, 경민 : 오눌
2020. 5. 6. 08:45, 경민 : 날실얻머
2020. 5. 6. 08:45, 경민 : 날시어떰
2020. 5. 6. 08:46, (알 수 없음) : 시원하고조운데
2020. 5. 6. 08:46, 정우 : 좋음
2020. 5. 6. 08:46, 정우 : 개꿀
2020. 5. 6. 08:47, 정우 : 낮에 개더울듯
2020. 5. 6. 08:47, (알 수 없음) : ㄹㅇ
2020. 5. 6. 08:47, 경민 : ㅇㅋ ㅠ
2020. 5. 6. 08:48, (알 수 없음) : 아9시까지도착몬하겟네
2020. 5. 6. 08:48, (알 수 없음) : ㅠ
2020. 5. 6. 08:49, (알 수 없음) : 버스환승해야겟돻
2020. 5. 6. 08:55, 부그뷰 : 더움
2020. 5. 6. 08:56, 경민 : ㅇㅋㅇㅋ
2020. 5. 6. 08:56, (알 수 없음) : 9시1붇도착각
2020. 5. 6. 08:59, 정우 : ㅉㅉ
2020. 5. 6. 08:59, 정우 : 지각
2020. 5. 6. 08:59, 정우 : 이냐
2020. 5. 6. 08:59, 정우 : 아
2020. 5. 6. 08:59, 정우 : 집에가고싶다
2020. 5. 6. 09:01, (알 수 없음) : ㅅㅂ
2020. 5. 6. 09:01, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 09:01, (알 수 없음) : 개웃기네
2020. 5. 6. 09:01, (알 수 없음) : 버스냐렷음2분걸어가면댄다
2020. 5. 6. 09:01, 정우 : 아
2020. 5. 6. 09:01, 정우 : 아미친
2020. 5. 6. 09:01, 정우 : 이제수업할텐데
2020. 5. 6. 09:02, 정우 : 집중못할각
2020. 5. 6. 09:02, 정우 : ㅎㅎ
2020. 5. 6. 09:04, (알 수 없음) : 휴가가좋읔데타격이큼ㅇ
2020. 5. 6. 09:04, 정우 : ㄹㅇ
2020. 5. 6. 09:04, 정우 : 지금
2020. 5. 6. 09:04, (알 수 없음) : 이번주까지집중안될각
2020. 5. 6. 09:04, 정우 : 개크게왔다
2020. 5. 6. 09:04, 정우 : 와
2020. 5. 6. 09:04, 정우 : 이번주에 놀 핑계도 딱이어서
2020. 5. 6. 09:04, 정우 : 집중 개못할거같은데 리얼
2020. 5. 6. 09:05, 정우 : 이제진짜 집중해야할 시긴데
2020. 5. 6. 09:05, 정우 : 쩝쩝
2020. 5. 6. 09:05, (알 수 없음) : 아니
2020. 5. 6. 09:05, (알 수 없음) : 뭐지문이안열려잇는데?
2020. 5. 6. 09:05, 정우 : 개꿀
2020. 5. 6. 09:05, 정우 : 집ㄱ
2020. 5. 6. 09:05, 정우 : 집가서 폰이나
2020. 5. 6. 09:05, 정우 : 설정하셈
2020. 5. 6. 09:05, (알 수 없음) : 사진
2020. 5. 6. 09:05, (알 수 없음) : 아니여기문이안열렷다고
2020. 5. 6. 09:05, 정우 : 엥
2020. 5. 6. 09:05, 정우 : 엥;;;;;;;
2020. 5. 6. 09:05, 정우 : 이제대리점감?
2020. 5. 6. 09:06, 정우 : 한참전에 간줄
2020. 5. 6. 09:06, (알 수 없음) : 아미친
2020. 5. 6. 09:06, (알 수 없음) : 뭐야이거
2020. 5. 6. 09:06, (알 수 없음) : 뭐하자는거야
2020. 5. 6. 09:06, 정우 : 몇시에 연댔는데
2020. 5. 6. 09:06, (알 수 없음) : 9시
2020. 5. 6. 09:06, 정우 : ;;;;;
2020. 5. 6. 09:06, (알 수 없음) : 뭐하자는거지
2020. 5. 6. 09:07, 정우 : 안준다는거지
2020. 5. 6. 09:07, (알 수 없음) : 빡치넵...
2020. 5. 6. 09:07, 정우 : ;;;;;
2020. 5. 6. 09:07, 정우 : 좀 어이없긴하네
2020. 5. 6. 09:07, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 09:07, (알 수 없음) : ㄹㅇ뭐지;,;;
2020. 5. 6. 09:08, 정우 : ;;;;
2020. 5. 6. 09:08, (알 수 없음) : 빡치는데;;;?
2020. 5. 6. 09:08, (알 수 없음) : 어디서대기해야해이건뭐
2020. 5. 6. 09:08, 정우 : 코노ㄱ
2020. 5. 6. 09:08, 정우 : 안열었나?
2020. 5. 6. 09:08, (알 수 없음) : 아니10시반미팅인데
2020. 5. 6. 09:08, (알 수 없음) : 아존낰ㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 09:08, (알 수 없음) : 아
2020. 5. 6. 09:08, (알 수 없음) : ㅅㅂ.....머하나
2020. 5. 6. 09:08, 정우 : 그
2020. 5. 6. 09:09, 정우 : 대리점명함
2020. 5. 6. 09:09, 정우 : 안받아왔냐?
2020. 5. 6. 09:09, 정우 : 전화때려
2020. 5. 6. 09:09, (알 수 없음) : 안받음ㅅㅂ
2020. 5. 6. 09:09, (알 수 없음) : 아
2020. 5. 6. 09:09, (알 수 없음) : 존나빠릿빠릿
2020. 5. 6. 09:09, (알 수 없음) : ㅐ줄거처럼하든만
2020. 5. 6. 09:09, 정우 : 개웃기네 진짜
2020. 5. 6. 09:09, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 09:09, (알 수 없음) : 당일날뽝치게하네
2020. 5. 6. 09:10, 정우 : ㅠ
2020. 5. 6. 09:10, (알 수 없음) : 아오
2020. 5. 6. 09:12, (알 수 없음) : 아밧데리16퍼남음 ㅎㅎ
2020. 5. 6. 09:12, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 09:12, (알 수 없음) : 딘짜개같게하넹 ㅎㅎ
2020. 5. 6. 09:13, 정우 : 기다릴수있는 마지노선
2020. 5. 6. 09:13, 정우 : 몇분임
2020. 5. 6. 09:13, (알 수 없음) : 25분
2020. 5. 6. 09:13, 정우 : 엥ㅇ
2020. 5. 6. 09:13, 정우 : 얼마안남았네
2020. 5. 6. 09:14, 정우 : ㅠ
2020. 5. 6. 09:15, (알 수 없음) : 10분만더기다림폰밧데리업다조용히버텨야지
2020. 5. 6. 09:15, 정우 : ㅠ
2020. 5. 6. 09:15, 정우 : 삭제된 메시지입니다. 
2020. 5. 6. 09:15, 정우 : 아니뭐래
2020. 5. 6. 09:15, 정우 : 힘내라
2020. 5. 6. 09:17, (알 수 없음) : 아....개같네여깋ㅎㅎ
2020. 5. 6. 09:17, 정우 : 손절각
2020. 5. 6. 09:17, (알 수 없음) : 여게서폰두번인가세번
2020. 5. 6. 09:17, (알 수 없음) : 바꿧는데
2020. 5. 6. 09:17, (알 수 없음) : ㅅㅂ
2020. 5. 6. 09:17, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 09:17, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 09:17, 정우 : 그랬냐
2020. 5. 6. 09:17, (알 수 없음) : 진짜개같네
2020. 5. 6. 09:17, 정우 : ㅠ
2020. 5. 6. 09:18, 정우 : 오늘왜그런대 리얼
2020. 5. 6. 09:19, (알 수 없음) : 몰라
2020. 5. 6. 09:20, (알 수 없음) : 9시개통이지랄하더니
2020. 5. 6. 09:20, (알 수 없음) : 아그냥
2020. 5. 6. 09:20, (알 수 없음) : 존나마음갘아서
2020. 5. 6. 09:20, (알 수 없음) : 그냥취소하고싶다
2020. 5. 6. 09:20, 정우 : ㅠㅠㅠㅠ
2020. 5. 6. 09:20, (알 수 없음) : ㅅㅂ그리고어제우산빌려준거
2020. 5. 6. 09:20, (알 수 없음) : 가지고왓는데이거또들고갓다다시가져와야함?
2020. 5. 6. 09:20, (알 수 없음) : 어개가튼
2020. 5. 6. 09:20, 경민 : 취소 ㄱ
2020. 5. 6. 09:20, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 09:20, 정우 : 아 거기서
2020. 5. 6. 09:20, (알 수 없음) : 연락
2020. 5. 6. 09:20, 정우 : 우산빌림?
2020. 5. 6. 09:20, (알 수 없음) : 와봐라
2020. 5. 6. 09:20, (알 수 없음) : ㅇㅇㅇ
2020. 5. 6. 09:20, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 09:20, 정우 : ㅅㅂ
2020. 5. 6. 09:20, 정우 : 개웃기다
2020. 5. 6. 09:20, 정우 : 오재훈 짜증내는거
2020. 5. 6. 09:21, 정우 : 눈에보이네
2020. 5. 6. 09:21, (알 수 없음) : 하
2020. 5. 6. 09:21, (알 수 없음) : 4분남음^,^
2020. 5. 6. 09:21, 정우 : ㅠㅠ
2020. 5. 6. 09:21, 정우 : 난 그래도
2020. 5. 6. 09:21, 정우 : 한시간은 리뷰하면서
2020. 5. 6. 09:21, 정우 : 날로먹는다
2020. 5. 6. 09:21, 빠충 : 오재
2020. 5. 6. 09:21, 빠충 : 폰 실패?
2020. 5. 6. 09:22, (알 수 없음) : 개같은
2020. 5. 6. 09:22, (알 수 없음) : 진짜
2020. 5. 6. 09:22, (알 수 없음) : 우산여기앞에놔두고가야겟다그냥
