Talk_2021.8.24 13:11-70.txt
저장한 날짜 : 2021. 8. 24. 13:13



2020년 5월 27일 수요일
2020. 5. 27. 13:22, 빠충 : 니 뭐했는데 이래 물렸냐
2020. 5. 27. 13:23, 빠충 : 꽉 물렸구먼
2020. 5. 27. 13:23, 재환오빠 : 샵검색: #삼성중공업주가
2020. 5. 27. 13:23, 재환오빠 : 오늘 달리누;
2020. 5. 27. 13:26, 경민 : ㅁㅊ
2020. 5. 27. 13:26, 경민 : 지린다오재
2020. 5. 27. 13:42, (알 수 없음) : 하
2020. 5. 27. 13:43, (알 수 없음) : 나왜존버를못하누?
2020. 5. 27. 13:43, (알 수 없음) : ㅠ
2020. 5. 27. 13:43, (알 수 없음) : 그래프가 조금만 더 버티면
2020. 5. 27. 13:43, (알 수 없음) : 달려줄게! 이러고있는데
2020. 5. 27. 13:43, (알 수 없음) : 존버를
2020. 5. 27. 13:43, (알 수 없음) : 못하누
2020. 5. 27. 13:43, (알 수 없음) : ㅎㅋ
2020. 5. 27. 13:43, (알 수 없음) : ㅠ
2020. 5. 27. 13:43, (알 수 없음) : 그래프사냥꾼해도되냐누
2020. 5. 27. 13:43, (알 수 없음) : 교수님한테 혼남 글좀 빨리써야할거같대
2020. 5. 27. 13:43, (알 수 없음) : 딱히혼난건아니지만;
2020. 5. 27. 13:43, (알 수 없음) : ㅎㅋ'
2020. 5. 27. 13:44, 원준오빠 : 슬로롸이터
2020. 5. 27. 13:44, 원준오빠 : 어떰
2020. 5. 27. 13:47, (알 수 없음) : 안됨
2020. 5. 27. 13:47, (알 수 없음) : 근데
2020. 5. 27. 13:47, (알 수 없음) : 뭔가느낌있다
2020. 5. 27. 13:47, (알 수 없음) : 슬로라이터
2020. 5. 27. 13:47, (알 수 없음) : 랩퍼 슬로라이터하실분
2020. 5. 27. 13:48, 원준오빠 : 오재훈이요
2020. 5. 27. 13:53, (알 수 없음) : ㅇㅋ
2020. 5. 27. 13:53, (알 수 없음) : 슬로라이터지만 난널불태워
2020. 5. 27. 13:53, (알 수 없음) : ㅎㅇ
2020. 5. 27. 13:54, (알 수 없음) : 랩퍼뜨자
2020. 5. 27. 13:54, 원준오빠 : 조낸 천천히 불태우지
2020. 5. 27. 13:54, 원준오빠 : 그래서 피9 남기고 7등에서 2등 까지 달리지
2020. 5. 27. 13:54, 원준오빠 : 인생의 진리지
2020. 5. 27. 13:55, (알 수 없음) : 아
2020. 5. 27. 13:55, (알 수 없음) : 저번에
2020. 5. 27. 13:55, (알 수 없음) : 극한물어봣던거 생각남?
2020. 5. 27. 13:55, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋ ㅅㅂ그거그냥
2020. 5. 27. 13:55, (알 수 없음) : 곱하면되는거엿음
2020. 5. 27. 13:55, (알 수 없음) : 교수님한테갔다가
2020. 5. 27. 13:55, (알 수 없음) : 또멍청한거들키고왓누
2020. 5. 27. 13:55, (알 수 없음) : 교수님이
2020. 5. 27. 13:55, (알 수 없음) : 이거극한어케 계싼해하고또물어보심;
2020. 5. 27. 13:55, (알 수 없음) : 당햇누
2020. 5. 27. 13:57, (알 수 없음) : 이모티콘 
2020. 5. 27. 13:58, 경민 : Zzzzz
2020. 5. 27. 14:00, 정우 : ㅎㅇㅎㅇ
2020. 5. 27. 14:00, 정우 : 두시간
2020. 5. 27. 14:00, 정우 : 개놀다옴
2020. 5. 27. 14:01, (알 수 없음) : ㄱ조ㅗ네
2020. 5. 27. 14:01, (알 수 없음) : 아니교수님일주일전되니까
2020. 5. 27. 14:01, (알 수 없음) : 수식막다적어주내
2020. 5. 27. 14:01, (알 수 없음) : 이거뭐갸뀰띠야
2020. 5. 27. 14:01, (알 수 없음) : 갸뀰띤가걸러진것인가
2020. 5. 27. 14:01, (알 수 없음) : 이모티콘 
2020. 5. 27. 14:16, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 14:17, 원준오빠 : 이야 이거 하면 너가 박사다!
2020. 5. 27. 14:17, 원준오빠 : 하심?
2020. 5. 27. 14:41, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 14:43, (알 수 없음) : ㄴㄴ
2020. 5. 27. 14:43, (알 수 없음) : 개쉬운거엿음🙅‍♀️
2020. 5. 27. 14:43, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 14:43, (알 수 없음) : 고당이엇우면
2020. 5. 27. 14:43, (알 수 없음) : 햇엇을거야
2020. 5. 27. 14:43, (알 수 없음) : ㅎㅎ
2020. 5. 27. 14:43, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 14:43, 정우 : 아
2020. 5. 27. 14:44, 정우 : 진짜문제
2020. 5. 27. 14:44, 정우 : 개같은게 너무많당
2020. 5. 27. 14:44, 정우 : 어떡함
2020. 5. 27. 14:44, 정우 : 집중력 개바닥침
2020. 5. 27. 14:44, (알 수 없음) : 그럴수앗다고생각함
2020. 5. 27. 14:45, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 14:45, 정우 : 그리고
2020. 5. 27. 14:45, 정우 : 교수님이안오심
2020. 5. 27. 14:45, 정우 : 이모티콘 
2020. 5. 27. 14:45, 정우 : 개신나
2020. 5. 27. 14:45, 정우 : 그래서 집중이 안됩ㄴ당
2020. 5. 27. 14:45, 정우 : 커피먹으면서 힘내서 노는중
2020. 5. 27. 15:20, (알 수 없음) : 하
2020. 5. 27. 15:20, (알 수 없음) : 미팅이끝이나지않아한시부터
2020. 5. 27. 15:32, Sekwang Ludan : 하 ㅅㅂ 나도 밥도 못먹고 미팅함
2020. 5. 27. 15:34, 원준오빠 : 몽쉘 왜케
2020. 5. 27. 15:34, 원준오빠 : 맛있냐
2020. 5. 27. 15:34, 원준오빠 : 몽쉘은
2020. 5. 27. 15:34, 원준오빠 : 카카오케이크 인줄
2020. 5. 27. 15:34, 원준오빠 : 알았는데
2020. 5. 27. 15:34, 원준오빠 : 생크림케이크도
2020. 5. 27. 15:34, 원준오빠 : 쥰맛이네
2020. 5. 27. 15:42, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 15:43, 빠충 : 요새 과자 맛 다양하더라고
2020. 5. 27. 15:50, 빠충 : 아
2020. 5. 27. 15:51, 빠충 : 이어폰놓고왔네
2020. 5. 27. 15:51, 빠충 : ㅠ
2020. 5. 27. 16:11, 원준오빠 : dang~
2020. 5. 27. 16:12, 원준오빠 : 학교에??
2020. 5. 27. 16:12, 원준오빠 : 아님 집에?
2020. 5. 27. 16:29, 빠충 : 집에
2020. 5. 27. 16:29, 빠충 : 무선이랑 유선이랑 둘 다 놓고 옴
2020. 5. 27. 16:29, 빠충 : 바깥 소리 들으니까 기분 이상하쥬
2020. 5. 27. 16:29, 원준오빠 : ㅋㅋㅋㅋㅋ
2020. 5. 27. 16:29, 원준오빠 : 가끔은
2020. 5. 27. 16:29, 원준오빠 : 자연소리를 벗삼아
2020. 5. 27. 16:30, 원준오빠 : 두둥등장을 하자
2020. 5. 27. 16:30, 원준오빠 : ?
2020. 5. 27. 16:30, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 16:30, 원준오빠 : 나 교육받는곳 옆옆건물에서 한명 발생했는데
2020. 5. 27. 16:30, 빠충 : ㄷ ㄷ ㄷ ㅈ
2020. 5. 27. 16:30, 원준오빠 : 그 소식 들은 이후부터 몸에 힘이 없고
2020. 5. 27. 16:30, 빠충 : 코로나 확진자 두둥등장
2020. 5. 27. 16:30, 원준오빠 : 내가등장!
2020. 5. 27. 16:30, 원준오빠 : 아이 머쉬배놈 등장무대 보고와야지
2020. 5. 27. 17:04, 빠충 : https://v.kakao.com/v/20200527165155116
2020. 5. 27. 17:04, 빠충 : 항공주 ㄷ ㄷ ㄷ ㅈ
2020. 5. 27. 17:05, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 17:08, 원준오빠 : ㄷㄷㄷㅈ
2020. 5. 27. 18:01, 원준오빠 : 와쒸 머리아파 디지겠다
2020. 5. 27. 18:14, 정우 : ㅠ
2020. 5. 27. 18:15, 정우 : 나는
2020. 5. 27. 18:15, 정우 : 배고파
2020. 5. 27. 18:15, 정우 : 흐어ㅓㅓㅓㅓㅓㅓㅓㅓ
2020. 5. 27. 18:18, 원준오빠 : ㅠ
2020. 5. 27. 18:23, 정우 : 하
2020. 5. 27. 18:23, 정우 : 집가고싶다
2020. 5. 27. 18:24, 정우 : 오늘 쌀을안먹었군 생각해보니
2020. 5. 27. 18:34, (알 수 없음) : 쟤허덥이네
2020. 5. 27. 18:34, (알 수 없음) : 워렌버칫
2020. 5. 27. 18:34, (알 수 없음) : 중공업맞춤,
2020. 5. 27. 18:34, (알 수 없음) : ?
2020. 5. 27. 18:36, 빠충 : 못맞춤
2020. 5. 27. 18:42, 정우 : 좁밥이네
2020. 5. 27. 18:42, 정우 : 오렌버핏
2020. 5. 27. 18:42, 정우 : 한수알려줘라
2020. 5. 27. 18:44, 빠충 : 버핏친구 뭘 모르네
2020. 5. 27. 19:09, (알 수 없음) : 여섯시간회의끝;;;;
2020. 5. 27. 19:09, (알 수 없음) : 이제글쓰고새미나준비;;;하나;;;
2020. 5. 27. 19:09, (알 수 없음) : ㅎㅇ;;;;;
2020. 5. 27. 19:09, 정우 : ㅊㅋㅊㅋ
2020. 5. 27. 19:09, 정우 : ㅎㅇ
2020. 5. 27. 19:09, (알 수 없음) : 힘드누좀
2020. 5. 27. 19:09, (알 수 없음) : 허우
2020. 5. 27. 19:09, 정우 : 나도좀
2020. 5. 27. 19:09, 정우 : 힘든데
2020. 5. 27. 19:09, 정우 : 집중력 바닥찍음
2020. 5. 27. 19:09, 정우 : 리얼
2020. 5. 27. 19:09, (알 수 없음) : 아나는집가서학고싶은데
2020. 5. 27. 19:09, (알 수 없음) : 어짜노
2020. 5. 27. 19:09, 정우 : 나도
2020. 5. 27. 19:09, 정우 : 그러고싶은데
2020. 5. 27. 19:10, 정우 : 후ㅠ
2020. 5. 27. 19:10, 정우 : 푼거 틀린것만보고 집가기ㄱㄴ?
2020. 5. 27. 19:10, 정우 : 그래도 한시간넘게 걸릴각이지만
2020. 5. 27. 19:10, 이석준 : ㄱㄴㄱㄴ
2020. 5. 27. 19:10, 정우 : 휴
2020. 5. 27. 19:10, 정우 : 아
2020. 5. 27. 19:10, 정우 : 공부하기시렁
2020. 5. 27. 19:10, 정우 : 시바
2020. 5. 27. 19:10, 이석준 : 과제하기시렁
2020. 5. 27. 19:10, 정우 : 이모티콘 
2020. 5. 27. 19:10, 정우 : 이모티콘 
2020. 5. 27. 19:10, 정우 : 이모티콘 
2020. 5. 27. 19:11, 이석준 : 사진
2020. 5. 27. 19:11, 이석준 : 사진
2020. 5. 27. 19:11, 이석준 : 이거봐주셈
2020. 5. 27. 19:11, 이석준 : 과제 안해도 괜찮은 부분인가
2020. 5. 27. 19:11, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄴㄴㅋㅋㅋㅋㅋ
2020. 5. 27. 19:12, 정우 : 올려준다잖아
2020. 5. 27. 19:12, 정우 : 해야지
2020. 5. 27. 19:12, 정우 : 과제
2020. 5. 27. 19:12, 이석준 : ㅜ
2020. 5. 27. 19:12, 빠충 : 그래임마
2020. 5. 27. 19:12, 정우 : 어디서
2020. 5. 27. 19:12, 빠충 : 하기 싫다고 막
2020. 5. 27. 19:12, 빠충 : 어
2020. 5. 27. 19:12, 정우 : 날로먹을라고
2020. 5. 27. 19:12, 정우 : 어
2020. 5. 27. 19:12, 정우 : 막
2020. 5. 27. 19:12, 정우 : 어
2020. 5. 27. 19:12, 정우 : 아시발 나도 날로먹고싶다 근데
2020. 5. 27. 19:12, 정우 : 공부안하고 시험잘보는법좀
2020. 5. 27. 19:12, 정우 : 알려주셈
2020. 5. 27. 19:12, 정우 : ㅅㅂ
2020. 5. 27. 19:12, 이석준 : 컨닝
2020. 5. 27. 19:12, 이석준 : 대리시험
2020. 5. 27. 19:12, 정우 : 오
2020. 5. 27. 19:12, 정우 : 개꿀팁
2020. 5. 27. 19:12, 이석준 : 가자
2020. 5. 27. 19:12, 이석준 : 지금부터
2020. 5. 27. 19:12, 이석준 : 컨닝 연습 ㄱㄱ
2020. 5. 27. 19:13, 정우 : 근데 이거 컨닝할라면
2020. 5. 27. 19:13, 정우 : 코드를 들고가야하는뎁
2020. 5. 27. 19:13, 정우 : ;;;;;;;
2020. 5. 27. 19:13, 정우 : 어디다 다적어감
2020. 5. 27. 19:13, 이석준 : 컴퓨터에 깔아놓으셈
2020. 5. 27. 19:13, 이석준 : ㄱㅇㄷ
2020. 5. 27. 19:13, 정우 : 필기시험임
2020. 5. 27. 19:13, 정우 : ㄱㅇㄷ?
2020. 5. 27. 19:13, 이석준 : 그럼
2020. 5. 27. 19:13, 이석준 : 머릿속에 넣고
2020. 5. 27. 19:13, 이석준 : 머릿속 컨닝 ㄱㄱ
2020. 5. 27. 19:13, 정우 : ㅇㅋ
2020. 5. 27. 19:13, 정우 : ㅅㅂ
2020. 5. 27. 19:13, 이석준 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 19:13, 정우 : 개같누~~
2020. 5. 27. 19:13, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 19:13, 빠충 : ㅋㅋㅋㅋㅋ
2020. 5. 27. 19:14, 정우 : 진짜
2020. 5. 27. 19:14, 정우 : 개쌉맞는말이라
2020. 5. 27. 19:14, 정우 : 할말이없네
2020. 5. 27. 19:14, 정우 : 하 내일은 간담회인데
2020. 5. 27. 19:14, 이석준 : 아니면 내일의 너한테 대신 공부시키셈
2020. 5. 27. 19:14, 정우 : 이렇게가기싫을수가
2020. 5. 27. 19:14, 정우 : 내일의나
2020. 5. 27. 19:14, 정우 : 도 싫어하니까
2020. 5. 27. 19:14, 이석준 : 그리고 내일의 니가 대신 시험보면
2020. 5. 27. 19:14, 이석준 : 대리 시험
2020. 5. 27. 19:14, 정우 : 지금의내가함
2020. 5. 27. 19:14, (알 수 없음) : 나
2020. 5. 27. 19:14, 이석준 : 쌉가능
2020. 5. 27. 19:14, (알 수 없음) : 앎ㄹ
2020. 5. 27. 19:14, 정우 : ㄱ
2020. 5. 27. 19:14, 정우 : 공안시잘
2020. 5. 27. 19:14, 이석준 : 모름
2020. 5. 27. 19:14, 정우 : ㄱ
2020. 5. 27. 19:14, 이석준 : 이럴거같은데
2020. 5. 27. 19:15, (알 수 없음) : 공부안하고
2020. 5. 27. 19:15, (알 수 없음) : 시험잘보는방법
2020. 5. 27. 19:15, (알 수 없음) : 앎
2020. 5. 27. 19:15, 정우 : ㄱ
2020. 5. 27. 19:15, (알 수 없음) : 앞에사람
2020. 5. 27. 19:15, (알 수 없음) : 체킹할때
2020. 5. 27. 19:15, (알 수 없음) : 체킹하셈
2020. 5. 27. 19:15, (알 수 없음) : 느낌으로가야함
2020. 5. 27. 19:15, 정우 : 나루토임?
2020. 5. 27. 19:15, (알 수 없음) : 이사람이 어느정도 실력이겠거니하고
2020. 5. 27. 19:15, (알 수 없음) : ;
2020. 5. 27. 19:15, (알 수 없음) : ㅅㅂ;
2020. 5. 27. 19:15, (알 수 없음) : ㅇ;
2020. 5. 27. 19:15, 이석준 : 살짝 영어듣기평가같은거냐
2020. 5. 27. 19:15, 정우 : ㅇㅋ
2020. 5. 27. 19:15, (알 수 없음) : 그렇지
2020. 5. 27. 19:15, 이석준 : 모두가 숙일때
2020. 5. 27. 19:15, 이석준 : 체크
2020. 5. 27. 19:15, (알 수 없음) : 느낌알자나;
2020. 5. 27. 19:15, 정우 : 앞사람이
2020. 5. 27. 19:15, (알 수 없음) : 영듣못해서
2020. 5. 27. 19:15, (알 수 없음) : 그렇게함
2020. 5. 27. 19:15, 정우 : 거북목이면 어떡함
2020. 5. 27. 19:15, (알 수 없음) : 펴드려
2020. 5. 27. 19:15, (알 수 없음) : 힘드시겟다
2020. 5. 27. 19:15, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 19:15, 정우 : ㅅㅂ
2020. 5. 27. 19:15, (알 수 없음) : 요즘세상의
2020. 5. 27. 19:15, 정우 : 웃기네
2020. 5. 27. 19:15, (알 수 없음) : 만병이지
2020. 5. 27. 19:15, (알 수 없음) : ㅠ
2020. 5. 27. 19:15, 이석준 : 진짜
2020. 5. 27. 19:15, 이석준 : 아무말대잔치
2020. 5. 27. 19:16, 정우 : 오지금
2020. 5. 27. 19:16, 정우 : 나만노나봐 여기서
2020. 5. 27. 19:16, 정우 : 시발
2020. 5. 27. 19:16, (알 수 없음) : 롸
2020. 5. 27. 19:16, 정우 : ㅠ
2020. 5. 27. 19:16, 정우 : 다들공부 열심히하네.....
2020. 5. 27. 20:07, 정우 : ㅁㅊ
2020. 5. 27. 20:07, 정우 : 오늘코로나
2020. 5. 27. 20:07, 정우 : 개많이나왔었네
2020. 5. 27. 20:07, (알 수 없음) : 40명
2020. 5. 27. 20:07, (알 수 없음) : 인천강사 발
2020. 5. 27. 20:08, (알 수 없음) : 쿠팡으로 전달
2020. 5. 27. 20:08, (알 수 없음) : 휘이이잉~
2020. 5. 27. 20:13, 이석준 : 그 학원강사
2020. 5. 27. 20:13, 이석준 : 소송걸리면
2020. 5. 27. 20:13, 이석준 : 오지겠는데
2020. 5. 27. 20:19, 원준오빠 : 오 그거 그 강사타고 간거래?
2020. 5. 27. 20:21, (알 수 없음) : ㅇㅇ
2020. 5. 27. 20:21, (알 수 없음) : 인천강사 - 결혼식장 - 쿠팡맨
2020. 5. 27. 20:21, (알 수 없음) : ㅎㅇ
2020. 5. 27. 20:24, 빠충 : https://v.kakao.com/v/20200527183903748
2020. 5. 27. 20:24, 빠충 : https://v.kakao.com/v/20200527195212511
2020. 5. 27. 20:24, 빠충 : 대전 사업설명회
2020. 5. 27. 20:24, 빠충 : 배앰
2020. 5. 27. 20:36, 정우 : 집간다
2020. 5. 27. 20:36, 정우 : 하씨바
2020. 5. 27. 20:36, 정우 : 구파발행이야
2020. 5. 27. 20:36, 정우 : 아ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ
2020. 5. 27. 20:41, (알 수 없음) : 나도일단집가서
2020. 5. 27. 20:41, (알 수 없음) : 좀쉬고할가
2020. 5. 27. 20:41, (알 수 없음) : 하
2020. 5. 27. 20:43, 정우 : 놀자놀자
2020. 5. 27. 20:43, 정우 : 10시까지 놀사람구함
2020. 5. 27. 20:43, 정우 : ㅎ;;;;;;
2020. 5. 27. 20:43, 정우 : 시방
2020. 5. 27. 20:44, 정우 : 8시반에 나왔는데 집가면 10시
2020. 5. 27. 20:44, 정우 : 내시간 어디갔누ㅠ
2020. 5. 27. 20:51, (알 수 없음) : 사진
2020. 5. 27. 20:51, (알 수 없음) : ㅅㅂ;;;;;;;;
2020. 5. 27. 20:53, 이석준 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 20:55, (알 수 없음) : 사진
2020. 5. 27. 20:55, (알 수 없음) : 존댓말하면서
2020. 5. 27. 20:55, (알 수 없음) : 욕박음
2020. 5. 27. 20:55, 이석준 : 앞으로 빵빵이라고
2020. 5. 27. 20:55, (알 수 없음) : ㅎ;;
2020. 5. 27. 20:55, 이석준 : 불러달라하셈
2020. 5. 27. 20:55, (알 수 없음) : ;;
2020. 5. 27. 20:55, 이석준 : 오볼빵빵이
2020. 5. 27. 20:55, 이석준 : 저분께 가르쳐드리고싶다
2020. 5. 27. 20:55, 이석준 : 오볼빵빵이 라고 부르면 개좋아해요
2020. 5. 27. 20:58, (알 수 없음) : ㅡ.ㅡ
2020. 5. 27. 20:58, (알 수 없음) : 안좋아한다
2020. 5. 27. 20:58, (알 수 없음) : 이맘
2020. 5. 27. 20:59, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 20:59, 원준오빠 : 도랏다
2020. 5. 27. 20:59, 원준오빠 : 개웃겨
2020. 5. 27. 21:01, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 21:01, 정우 : 볼커지누
2020. 5. 27. 21:01, 정우 : ㅅㅂ
2020. 5. 27. 21:01, 정우 : 진짜 만인의 오볼빵되겠누
2020. 5. 27. 21:03, 경민 : 질문있음
2020. 5. 27. 21:03, 경민 : 오늘
2020. 5. 27. 21:03, 경민 : 주식문자오는거
2020. 5. 27. 21:03, (알 수 없음) : 함
2020. 5. 27. 21:03, 경민 : 차단했거든
2020. 5. 27. 21:03, 경민 : 근데
2020. 5. 27. 21:03, (알 수 없음) : 놀토체스
2020. 5. 27. 21:03, (알 수 없음) : ㅇㅇ
2020. 5. 27. 21:03, 경민 : 차단했는데
2020. 5. 27. 21:03, 경민 : 문자가또옴
2020. 5. 27. 21:03, 경민 : 왜이럼
2020. 5. 27. 21:03, 경민 : ?
2020. 5. 27. 21:03, 정우 : ;;;;
2020. 5. 27. 21:03, (알 수 없음) : 개뚫어버림
2020. 5. 27. 21:03, 정우 : 어디에
2020. 5. 27. 21:03, 경민 : 같은번호로;
2020. 5. 27. 21:03, 경민 : 옴...
2020. 5. 27. 21:03, 정우 : 번호샜나봄
2020. 5. 27. 21:03, 정우 : 엥
2020. 5. 27. 21:03, 경민 : 왜옴
2020. 5. 27. 21:03, 정우 : 왜옴
2020. 5. 27. 21:03, 경민 : 차단이안ㅁ댐
2020. 5. 27. 21:03, 경민 : ;;
2020. 5. 27. 21:03, 정우 : ;;;;
2020. 5. 27. 21:03, 정우 : 이거뭐
2020. 5. 27. 21:04, 정우 : 슈퍼방장이누
2020. 5. 27. 21:04, 경민 : 짜증나 ㅠ
2020. 5. 27. 21:04, (알 수 없음) : ;;슈퍼방장
2020. 5. 27. 21:04, (알 수 없음) : ㅅㅂ
2020. 5. 27. 21:04, (알 수 없음) : 크아생각나네
2020. 5. 27. 21:04, (알 수 없음) : ㅅㅂ
2020. 5. 27. 21:04, (알 수 없음) : 슈퍼방장
2020. 5. 27. 21:04, (알 수 없음) : vs강퇴반사
2020. 5. 27. 21:04, 정우 : 크아드립친거임
2020. 5. 27. 21:04, (알 수 없음) : 개새끼들
2020. 5. 27. 21:04, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 21:04, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 21:04, 정우 : 그거맞음
2020. 5. 27. 21:05, 정우 : 아 빨리
2020. 5. 27. 21:05, 정우 : 주말왔으면좋겠다
2020. 5. 27. 21:05, 정우 : 후딱시험보게
2020. 5. 27. 21:05, 정우 : 오늘 수요일임?
2020. 5. 27. 21:05, 정우 : ㅅㅂ수요일이네
2020. 5. 27. 21:05, 정우 : 개같군
2020. 5. 27. 21:09, (알 수 없음) : 아벌써수요일이냐
2020. 5. 27. 21:09, (알 수 없음) : 무슨
2020. 5. 27. 21:09, (알 수 없음) : 또 집가서
2020. 5. 27. 21:09, (알 수 없음) : 3판정도하고 논문읽고 자야겟다
2020. 5. 27. 21:09, (알 수 없음) : 꾸준함어떰?
2020. 5. 27. 21:09, 원준오빠 : 굿
2020. 5. 27. 21:10, 원준오빠 : 후륭함
2020. 5. 27. 21:10, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 21:10, 정우 : 아니
2020. 5. 27. 21:10, 정우 : 너야말로
2020. 5. 27. 21:10, 정우 : 안자냐?
2020. 5. 27. 21:10, 정우 : 쟤요즘 계속깨있는거같은데
2020. 5. 27. 21:11, (알 수 없음) : ㅎ;;
2020. 5. 27. 21:11, (알 수 없음) : 교수님이
2020. 5. 27. 21:11, (알 수 없음) : 논문쓰는기간에는
2020. 5. 27. 21:11, (알 수 없음) : 80시간일해야한다햇어;
