Talk_2021.8.24 13:11-78.txt
저장한 날짜 : 2021. 8. 24. 13:13



2021년 1월 3일 일요일
2021. 1. 3. 22:36, abyss오재 : 경소봐야하는데티빙터졋어
2021. 1. 3. 22:41, abyss오재 : ㅅㅂ소문이
2021. 1. 3. 22:41, abyss오재 : ㅠ
2021. 1. 3. 22:45, abyss오재 : 소문이한테왜저럼
2021. 1. 3. 22:45, abyss오재 : ㅅㅂ빡처
2021. 1. 3. 22:54, abyss오재 : 킹받게하네
2021. 1. 3. 22:54, abyss오재 : 개쉿ㅅ기들
2021. 1. 3. 23:11, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 3. 23:11, 경민 : 니드라마몰입하누
2021. 1. 3. 23:12, abyss오재 : 아니
2021. 1. 3. 23:12, abyss오재 : 소문이한테오ㅑ저래
2021. 1. 3. 23:12, abyss오재 : 🐂😠😠
2021. 1. 3. 23:12, abyss오재 : 쉬익
2021. 1. 3. 23:30, abyss오재 : 악귀들연기너무잘해
2021. 1. 3. 23:30, abyss오재 : ㅠㅠㅅㅂ
2021. 1. 3. 23:32, abyss오재 : 아미친
2021. 1. 3. 23:32, abyss오재 : 담주저져야한다
2021. 1. 3. 23:32, abyss오재 : 이렇게끊어버리네
2021. 1. 3. 23:36, 정우 : 아
2021. 1. 3. 23:36, 정우 : 스토브리그 존잼이네;;;;
2021. 1. 3. 23:37, 원준오빠 : 열혈시청자들
2021. 1. 3. 23:40, 정우 : ㅎㅎㅎㅎ
2021. 1. 3. 23:45, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 3. 23:50, 정우 : 아으 졸려
2021. 1. 3. 23:50, 정우 : 그래서 줌함?
2021. 1. 3. 23:50, 정우 : 안함?
2021. 1. 3. 23:52, 원준오빠 : 어떰
2021. 1. 3. 23:53, 원준오빠 : 생일자
2021. 1. 3. 23:54, 원준오빠 : 생일자 주겄나
