Talk_2021.8.24 13:11-79.txt
저장한 날짜 : 2021. 8. 24. 13:13



2021년 1월 20일 수요일
2021. 1. 20. 10:56, 경민 : 10점받고싶누
2021. 1. 20. 11:47, 부그뷰 : ㅅㅁㅅ
2021. 1. 20. 11:48, 정우 : ㅅㅁㅅ
2021. 1. 20. 11:48, 경민 : ㅅㅁㅅ
2021. 1. 20. 11:48, 정우 : 사진
2021. 1. 20. 11:48, 경민 : 존맛
2021. 1. 20. 11:48, 경민 : 이겟다;
2021. 1. 20. 11:48, 정우 : 냄새지렸다
2021. 1. 20. 11:48, 경민 : 부러워
2021. 1. 20. 11:48, 경민 : 우리동네국박ㅂ지ㅣㅂ이
2021. 1. 20. 11:48, 경민 : ㅈ은곳이없음
2021. 1. 20. 11:48, 경민 : ㅠ
2021. 1. 20. 11:54, abyss오재 : 진짜맛잇는거먹네
2021. 1. 20. 11:54, abyss오재 : 배안고픈데밥을먹ㅇㅓ야할지말지
2021. 1. 20. 11:54, abyss오재 : 고민에빠짐어쩌지
2021. 1. 20. 11:54, 경민 : 먹으셈
2021. 1. 20. 11:54, 경민 : 이유바로말해줌
2021. 1. 20. 11:54, 경민 : 안먹으면
2021. 1. 20. 11:54, 경민 : 바로배고파짐;
2021. 1. 20. 11:57, abyss오재 : 그런가
2021. 1. 20. 11:59, abyss오재 : 시바 메엠
2021. 1. 20. 11:59, abyss오재 : 언제140찍어
2021. 1. 20. 12:00, abyss오재 : 104다
2021. 1. 20. 12:00, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 12:00, 경민 : 꾸준히
2021. 1. 20. 12:00, 경민 : 하누?
2021. 1. 20. 12:00, 경민 : 나는 132;
2021. 1. 20. 12:00, abyss오재 : 생각을바꿧는데
2021. 1. 20. 12:00, abyss오재 : 아델 앱솔루트
2021. 1. 20. 12:00, abyss오재 : 맥여야겠음
2021. 1. 20. 12:00, abyss오재 : 아델이여전히킹짱인듯
2021. 1. 20. 12:00, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 12:00, 경민 : 아델
2021. 1. 20. 12:00, 경민 : 키울거임
2021. 1. 20. 12:00, 경민 : ?
2021. 1. 20. 12:00, abyss오재 : 아델이랑 썬콜
2021. 1. 20. 12:01, 경민 : ㅅㅂ
2021. 1. 20. 12:01, 경민 : 계속
2021. 1. 20. 12:01, 경민 : 쳐죽어잇네메엠
2021. 1. 20. 12:08, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 12:08, abyss오재 : 난왜 자동연결이끊기지
2021. 1. 20. 13:02, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 13:02, 정우 : 아 밥잘먹었다
2021. 1. 20. 13:51, abyss오재 : ;
2021. 1. 20. 13:51, abyss오재 : 연구실에서 혼자메엠하고있는데
2021. 1. 20. 13:51, abyss오재 : 찾아와서당황했네
2021. 1. 20. 13:51, abyss오재 : ㅎㅋ;
2021. 1. 20. 13:51, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 13:51, 경민 : 개웃
2021. 1. 20. 13:52, abyss오재 : 하드 보쓰잡고있었는데
2021. 1. 20. 13:52, abyss오재 : ㅠ못잡은듯
2021. 1. 20. 13:52, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 13:52, abyss오재 : ㅠ;;
2021. 1. 20. 13:53, 정우 : 임마
2021. 1. 20. 13:53, 정우 : 부끄럽냐
2021. 1. 20. 13:53, abyss오재 : 살짝ㅇ이마;
2021. 1. 20. 13:53, abyss오재 : 임마;
2021. 1. 20. 13:53, abyss오재 : 니랑누워서
2021. 1. 20. 13:53, abyss오재 : 자랑할때는
2021. 1. 20. 13:53, abyss오재 : 안부끄러웟는데;;
2021. 1. 20. 13:53, abyss오재 : ...........
2021. 1. 20. 13:53, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 13:53, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 13:53, abyss오재 : 연구실은쫌;;
2021. 1. 20. 13:53, 경민 : 자동사냥돌리셈
2021. 1. 20. 13:53, abyss오재 : 하드보쓰못잡아서
2021. 1. 20. 13:53, abyss오재 : 킹받음
2021. 1. 20. 13:53, 정우 : 불쌍하네
2021. 1. 20. 13:53, 정우 : 아 개졸리다 미친
2021. 1. 20. 13:54, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 13:55, abyss오재 : 앙돼애ㅐㅐㅐ
2021. 1. 20. 13:55, 정우 : 돼애애애애ㅐ애앵
2021. 1. 20. 13:56, abyss오재 : 호에에엥
2021. 1. 20. 13:57, abyss오재 : 호오오에에에에엥ㅇ
2021. 1. 20. 14:01, 정우 : 호에에에에ㅔ에에에ㅔ에에에엥
2021. 1. 20. 14:02, 정우 : 아 빨리
2021. 1. 20. 14:02, 정우 : 집가고싶다
2021. 1. 20. 14:02, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 14:02, abyss오재 : 아이 시간잘가
2021. 1. 20. 14:02, 정우 : 잘가냐
2021. 1. 20. 14:02, 정우 : 부럽다
2021. 1. 20. 14:03, abyss오재 : 갲라가;
2021. 1. 20. 14:04, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 14:17, 경민 : 개졸려
2021. 1. 20. 14:23, 정우 : ㄹㅇ
2021. 1. 20. 14:23, 정우 : 커피도 소용이없다
2021. 1. 20. 14:33, 빠충 : 아
2021. 1. 20. 14:33, 빠충 : 나만그런줄
2021. 1. 20. 14:33, 빠충 : 사진
2021. 1. 20. 14:33, 빠충 : 점심으로 도스타코스 조져서
2021. 1. 20. 14:33, 빠충 : 개배불러
2021. 1. 20. 14:38, 정우 : 오
2021. 1. 20. 14:38, 정우 : 맛있겠다 저것도
2021. 1. 20. 14:55, 원준오빠 : 대박대박
2021. 1. 20. 15:01, abyss오재 : 어으
2021. 1. 20. 15:01, abyss오재 : ssap 피곤
2021. 1. 20. 15:01, abyss오재 : 잠은많이잔거같은데
2021. 1. 20. 15:07, 정우 : ssap피곤
2021. 1. 20. 15:07, 정우 : 존나웃기네
2021. 1. 20. 15:07, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 15:08, abyss오재 : ㅍㅐ파 레벨 이제 109밖에안돼서
2021. 1. 20. 15:08, abyss오재 : 존나열받음
2021. 1. 20. 15:08, abyss오재 : 언제 140돼
2021. 1. 20. 15:08, abyss오재 : 컴퓨터로 키우는게훨씬쉽네
2021. 1. 20. 15:09, 정우 : 집에서메플못하잖아 근데
2021. 1. 20. 15:11, abyss오재 : 응..
2021. 1. 20. 15:11, abyss오재 : 오늘은 책장 / 쇼파 / 티비 버리는날임
2021. 1. 20. 15:11, abyss오재 : 억떰?
2021. 1. 20. 15:24, abyss오재 : 사진
2021. 1. 20. 15:24, abyss오재 : 요새집존나잘간다
2021. 1. 20. 15:31, 정우 : 좋음
2021. 1. 20. 15:31, 정우 : 다버려~
2021. 1. 20. 15:38, abyss오재 : 옼까이
2021. 1. 20. 15:40, 정우 : 하 집가고시펑
2021. 1. 20. 15:41, abyss오재 : 나도;...ㅁ;ㅊ;ㄴ
2021. 1. 20. 15:41, abyss오재 : 존나가고싶다
2021. 1. 20. 15:42, abyss오재 : 오늘메엠몇될려나
2021. 1. 20. 15:42, abyss오재 : 이제 110
2021. 1. 20. 15:42, abyss오재 : 휴
2021. 1. 20. 15:49, 정우 : 메에에에에에엠
2021. 1. 20. 15:50, 원준오빠 : 휴 난 이제 122
2021. 1. 20. 15:50, 원준오빠 : 내 페파 준내 못생금
2021. 1. 20. 15:50, 원준오빠 : 사진
2021. 1. 20. 15:50, 원준오빠 : 어떰
2021. 1. 20. 15:51, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 15:56, abyss오재 : 귀여운데..>?
2021. 1. 20. 15:56, abyss오재 : 왜형혼자저런모자쓰고있어,,좋겟다
2021. 1. 20. 15:56, abyss오재 : 내 메이플스토리 m아이디는
2021. 1. 20. 15:56, abyss오재 : 오메엠 오패엠 임
2021. 1. 20. 15:56, abyss오재 : ;;
2021. 1. 20. 16:03, 원준오빠 : 너 렙 딸려서 못쓸걸
2021. 1. 20. 16:03, 원준오빠 : ㅎ
2021. 1. 20. 16:03, 원준오빠 : 116제야
2021. 1. 20. 16:03, 원준오빠 : 너 뭐씀
2021. 1. 20. 16:10, abyss오재 : 나 100때 준거쓰는중
2021. 1. 20. 16:10, abyss오재 : 지금 111
2021. 1. 20. 16:24, 원준오빠 : 딱이누
2021. 1. 20. 16:25, 원준오빠 : 스타포스 딸려서 사녕터 못옮긴당
2021. 1. 20. 16:28, abyss오재 : 나도 걍 90-100에서 멈춰있음
2021. 1. 20. 16:30, 원준오빠 : 히어로즈m 키우고있음?
2021. 1. 20. 16:34, abyss오재 : ㅇㅇ근데
2021. 1. 20. 16:34, abyss오재 : 어케렙업시키는지모르겠네걔네들
2021. 1. 20. 16:34, abyss오재 : 경치는차는데
2021. 1. 20. 16:35, 경민 : 오늘
2021. 1. 20. 16:35, 경민 : 스우버스
2021. 1. 20. 16:35, 경민 : 출발합니다
2021. 1. 20. 16:35, 경민 : 늦으면두고감
2021. 1. 20. 16:35, 원준오빠 : 옆에 레벨업 버튼 눌러서
2021. 1. 20. 16:35, 원준오빠 : 레벨업 누르셈
2021. 1. 20. 16:35, 원준오빠 : 네넹
2021. 1. 20. 16:37, abyss오재 : 레벨업버튼이안눌령ㅇ
2021. 1. 20. 16:43, 원준오빠 : 오호
2021. 1. 20. 16:43, 원준오빠 : 고생하셈
2021. 1. 20. 16:43, 원준오빠 : ㅋㅎ
2021. 1. 20. 16:43, 원준오빠 : 오재 스우퀘좀 깨주셈 ㅡㅡ
2021. 1. 20. 16:46, abyss오재 : 먄먄;;
2021. 1. 20. 16:46, abyss오재 : 전과도 준비해야함
