Talk_2021.8.24 13:11-81.txt
저장한 날짜 : 2021. 8. 24. 13:13



2021년 3월 21일 일요일
2021. 3. 21. 19:27, abyss오재 : 미텻음어제꺼보고잇음?
2021. 3. 21. 19:31, 경민 : ㅇㅇ
2021. 3. 21. 19:32, 경민 : 주단태제발누가
2021. 3. 21. 19:32, 경민 : 죽여줫으면;
2021. 3. 21. 19:55, abyss오재 : ㄹㅇ
2021. 3. 21. 19:55, abyss오재 : 어제꺼진짜,,,
2021. 3. 21. 19:57, 원준오빠 : 오대 그럼
2021. 3. 21. 19:57, 원준오빠 : 주맣에 뷰산갔다가
2021. 3. 21. 19:57, 원준오빠 : 서울 언재옴?
2021. 3. 21. 20:00, abyss오재 : 일욜에
2021. 3. 21. 20:00, abyss오재 : 오지않울까?
2021. 3. 21. 20:01, abyss오재 : 이모티콘 
2021. 3. 21. 20:15, 원준오빠 : 굿
2021. 3. 21. 20:16, 원준오빠 : 평일 조져
2021. 3. 21. 20:26, 빠충 : 내일은 월요일입니다
2021. 3. 21. 20:26, 빠충 : 화나네요
2021. 3. 21. 20:26, 빠충 : 왜 월요일일까
2021. 3. 21. 20:28, abyss오재 : 아근데저
2021. 3. 21. 20:28, abyss오재 : 군대가기전에자제해야하지않나요?
2021. 3. 21. 20:28, abyss오재 : 이번주주말까지만조지고29일부터자제해보겟습니다
2021. 3. 21. 20:28, 원준오빠 : 아니요?
2021. 3. 21. 20:28, abyss오재 : 그러니까
2021. 3. 21. 20:28, abyss오재 : 내일갈게요
2021. 3. 21. 20:28, 원준오빠 : 안디는데요?
2021. 3. 21. 20:28, abyss오재 : 이모티콘 
2021. 3. 21. 20:28, 원준오빠 : 내일 어딜요
2021. 3. 21. 20:28, abyss오재 : 왜
2021. 3. 21. 20:29, abyss오재 : 고양이포차
2021. 3. 21. 20:29, 원준오빠 : ㅅㅂ
2021. 3. 21. 20:29, 원준오빠 : 금요일 안되나요
2021. 3. 21. 20:29, abyss오재 : 아잇
2021. 3. 21. 20:29, abyss오재 : 금요일은선약이잇어버려서
2021. 3. 21. 20:29, 경민 : (아잉)
2021. 3. 21. 20:29, abyss오재 : 월화수목중에안데나요
2021. 3. 21. 20:29, abyss오재 : 야
2021. 3. 21. 20:29, abyss오재 : 펜하다봣나
2021. 3. 21. 20:29, abyss오재 : 진짜
2021. 3. 21. 20:29, abyss오재 : 개욕때리다가마지막땜에또담주봐야함
2021. 3. 21. 20:29, 경민 : 감사합니다
2021. 3. 21. 20:31, abyss오재 : 샵검색 : #딥 푸룬주스
2021. 3. 21. 20:32, abyss오재 : 이거미쳣네 ㅅㅂ
2021. 3. 21. 20:32, abyss오재 : 체감중
2021. 3. 21. 20:32, abyss오재 : ,,;,;
2021. 3. 21. 20:34, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 20:34, 원준오빠 : 그만싸
2021. 3. 21. 20:34, 원준오빠 : 평일
2021. 3. 21. 20:34, 원준오빠 : 집오면 일곱시 반 쯤 되던데
2021. 3. 21. 20:34, abyss오재 : 오...
2021. 3. 21. 20:35, 원준오빠 : 쓰읍
2021. 3. 21. 20:36, 정우 : 그러면
2021. 3. 21. 20:37, 정우 : 나 금요일면접가야하니까
2021. 3. 21. 20:37, 정우 : 월화수중에ㄱ
2021. 3. 21. 20:37, 정우 : 화수
2021. 3. 21. 20:37, 정우 : 좋네
2021. 3. 21. 20:38, abyss오재 : 이모티콘 
2021. 3. 21. 20:38, abyss오재 : 쓰레기버리러갓다와야하는데
2021. 3. 21. 20:38, abyss오재 : 너무너무귀찮다어떡하지
2021. 3. 21. 20:38, abyss오재 : 후,,,
2021. 3. 21. 20:41, abyss오재 : 해야지.....갓다와야겟다
2021. 3. 21. 20:44, 경민 : 앵포;나도;
2021. 3. 21. 20:44, 경민 : 정신몬차림;
2021. 3. 21. 20:44, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 20:45, abyss오재 : 갸웃기네
2021. 3. 21. 20:45, abyss오재 : 🧟‍♂️
2021. 3. 21. 20:45, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ개웃긴거;;
2021. 3. 21. 20:45, abyss오재 : ㄱ
2021. 3. 21. 20:45, 경민 : 와인마셧거든
2021. 3. 21. 20:45, 경민 : 근데
2021. 3. 21. 20:45, 경민 : 살때
2021. 3. 21. 20:45, 경민 : 나혼자다마실거같아서 내가삿는데
2021. 3. 21. 20:45, 경민 : ㄹㅇ나헌자다마심;ㅎ
2021. 3. 21. 20:45, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 20:46, abyss오재 : 훌륜하네
2021. 3. 21. 20:46, 경민 : 뇽이랑서워니 한잔도덜마셨누 ㅎ
2021. 3. 21. 20:46, abyss오재 : 둘도 내일회사안가누
2021. 3. 21. 20:46, 경민 : ㄴㄴ가누
2021. 3. 21. 20:46, abyss오재 : 아이제곧헤어지누?
2021. 3. 21. 20:46, 경민 : 근데둘다광교라
2021. 3. 21. 20:46, 경민 : 근처라누
2021. 3. 21. 20:47, abyss오재 : 아하
2021. 3. 21. 20:47, 경민 : 저녁까지머글줄 몰랏누(;
2021. 3. 21. 20:47, 경민 : ㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 20:48, 경민 : 너무잘놀아버렸누
2021. 3. 21. 20:49, abyss오재 : 훌륭하네
2021. 3. 21. 20:49, abyss오재 : 너네집임
2021. 3. 21. 20:49, abyss오재 : ?
2021. 3. 21. 21:01, 경민 : 당근아니지;🥕
