Talk_2021.8.24 13:11-85.txt
저장한 날짜 : 2021. 8. 24. 13:13



2021년 6월 24일 목요일
2021. 6. 24. 22:35, abyss오재 : 일단 얼찜먼저한다
2021. 6. 24. 22:55, abyss오재 : 이모티콘 
2021. 6. 24. 22:59, abyss오재 : 아개웃ㄱ네
2021. 6. 24. 22:59, 경민 : ㅅㅂ
2021. 6. 24. 22:59, 경민 : 개무서워
2021. 6. 24. 22:59, 경민 : 잠간나갓다왓는데
2021. 6. 24. 22:59, 경민 : 누가내뒤에쫓아오면
2021. 6. 24. 22:59, 경민 : 개무섭다 ㅇㅈ?
2021. 6. 24. 22:59, 경민 : ㅅㅂ
2021. 6. 24. 22:59, abyss오재 : ㅁㅊ
2021. 6. 24. 22:59, abyss오재 : ㅇㅈ
2021. 6. 24. 22:59, 경민 : 개무서어서달려갓네
2021. 6. 24. 22:59, abyss오재 : 집임?
2021. 6. 24. 22:59, 경민 : ㅇㅇ
2021. 6. 24. 22:59, 경민 : ㅋㅋㅋ
2021. 6. 24. 22:59, 경민 : 들아옴
2021. 6. 24. 22:59, abyss오재 : 다행
2021. 6. 24. 22:59, 경민 : ;
2021. 6. 24. 22:59, abyss오재 : 술안조지나
2021. 6. 24. 22:59, 경민 : ㅇㅇ..내일조지니까
2021. 6. 24. 22:59, 경민 : 참음
2021. 6. 24. 22:59, 경민 : 오늘
2021. 6. 24. 23:00, 경민 : 식단
2021. 6. 24. 23:00, abyss오재 : 사진
2021. 6. 24. 23:00, 경민 : 브리핑가능?
2021. 6. 24. 23:00, abyss오재 : ㅠ인성나가리개그래
2021. 6. 24. 23:00, abyss오재 : 존나웃기네
2021. 6. 24. 23:00, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ연탄
2021. 6. 24. 23:00, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 24. 23:00, abyss오재 : ㄱ
2021. 6. 24. 23:00, abyss오재 : 브리핑
2021. 6. 24. 23:00, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 24. 23:00, 경민 : 오늘아침에 1도시락 쿰척하고
2021. 6. 24. 23:00, 경민 : 점심에 돈까스에비빔국술
2021. 6. 24. 23:00, abyss오재 : 인성나가리란말이왜케웃기지 ㅅㅂ
2021. 6. 24. 23:00, abyss오재 : 저녁은
2021. 6. 24. 23:00, 경민 : 저녁에계란2개에 아몬드브리즈
2021. 6. 24. 23:00, 경민 : 어껌
2021. 6. 24. 23:00, 경민 : 어떰
2021. 6. 24. 23:00, abyss오재 : 좋음
2021. 6. 24. 23:00, 경민 : ㄱㅊ?
2021. 6. 24. 23:00, abyss오재 : 훌륭함
2021. 6. 24. 23:00, abyss오재 : 나도 브리핑가능?
2021. 6. 24. 23:00, 경민 : ㄱㄴㄱㄴ
2021. 6. 24. 23:00, abyss오재 : 오전소세지 하나
2021. 6. 24. 23:00, 경민 : 닭소
2021. 6. 24. 23:00, 경민 : 몇개먹음
2021. 6. 24. 23:00, abyss오재 : 점심 소세지 하나에 샌드위치 커피
2021. 6. 24. 23:01, abyss오재 : 저녁 소세지 하나
2021. 6. 24. 23:01, abyss오재 : 끝
2021. 6. 24. 23:01, 경민 : 오
2021. 6. 24. 23:01, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 24. 23:01, 경민 : 소세지대마왕이누
2021. 6. 24. 23:01, abyss오재 : ㄹㅇ
2021. 6. 24. 23:01, abyss오재 : 아고민돼
2021. 6. 24. 23:01, 경민 : 잘하네
2021. 6. 24. 23:01, abyss오재 : 술때리고싶은데
2021. 6. 24. 23:01, 경민 : 머가고민
2021. 6. 24. 23:01, 경민 : ㄱ
2021. 6. 24. 23:01, 경민 : 아
2021. 6. 24. 23:01, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 24. 23:01, 경민 : 해답
2021. 6. 24. 23:01, 경민 : 알랴줌
2021. 6. 24. 23:01, abyss오재 : 참아야하나
2021. 6. 24. 23:01, abyss오재 : 뭐
2021. 6. 24. 23:01, 경민 : 근데
2021. 6. 24. 23:01, abyss오재 : 내일
2021. 6. 24. 23:01, 경민 : 내일부모님
2021. 6. 24. 23:01, 경민 : 오심?
2021. 6. 24. 23:01, abyss오재 : 몰라저녁에알려준다면서
2021. 6. 24. 23:01, abyss오재 : 말이업네
2021. 6. 24. 23:01, 경민 : ㅇㅇ
2021. 6. 24. 23:01, abyss오재 : 냘아침에전화해봐야지
2021. 6. 24. 23:01, 경민 : 오지말라하고수서오기어떰
2021. 6. 24. 23:01, 경민 : (?);
2021. 6. 24. 23:01, abyss오재 : 깁스때문에
2021. 6. 24. 23:01, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 24. 23:01, 경민 : 또화낼거임 ㅠ
2021. 6. 24. 23:01, abyss오재 : 그건좀그래
2021. 6. 24. 23:01, abyss오재 : 깁스
