Talk_2021.8.24 13:11-88.txt
저장한 날짜 : 2021. 8. 24. 13:14



2021년 8월 9일 월요일
2021. 8. 9. 08:27, 원준오빠 : 나도모르게 든든댄스 든든대앤 든든댄
2021. 8. 9. 08:39, abyss오재 : 든든댄스
2021. 8. 9. 08:39, abyss오재 : 오드으은
2021. 8. 9. 09:01, 경민 : 카뱅 ㄸ
2021. 8. 9. 09:02, 경민 : 개미쳤다
2021. 8. 9. 09:04, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋ도랏네
2021. 8. 9. 09:07, 경민 : 코인급이누;
2021. 8. 9. 09:16, abyss오재 : 어떤데
2021. 8. 9. 09:16, abyss오재 : 샵검색 : #카카오뱅크
2021. 8. 9. 09:16, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 09:16, abyss오재 : 미쳣네
2021. 8. 9. 09:16, abyss오재 : 두개네
2021. 8. 9. 09:16, abyss오재 : 두배네
2021. 8. 9. 09:16, 경민 : Žㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 09:16, 경민 : 개미침
2021. 8. 9. 09:19, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 09:19, abyss오재 : 하 학교가기싫다
2021. 8. 9. 09:37, abyss오재 : 뭐지오늘개시원
2021. 8. 9. 09:41, 경민 : ㄹㅇㄹㅇ
2021. 8. 9. 09:53, 원준오빠 : 사진
2021. 8. 9. 10:03, 빠충 : ㅎㅇㅎㅇ
2021. 8. 9. 10:03, 빠충 : 청계천 ㅎㅇ
2021. 8. 9. 10:24, 원준오빠 : ㅎㅇㅎㅇ
2021. 8. 9. 10:24, 원준오빠 : 하늘개이뿜
2021. 8. 9. 10:25, 원준오빠 : 샵검색 : #카카오 뱅크
2021. 8. 9. 10:25, 원준오빠 : 저긔여
2021. 8. 9. 10:25, 원준오빠 : ;
2021. 8. 9. 10:25, 원준오빠 : 이런말 잘 안하는데 한마디만 함
2021. 8. 9. 10:26, 원준오빠 : 살걸;
2021. 8. 9. 10:26, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 10:26, 경민 : 22...
2021. 8. 9. 10:28, abyss오재 : 개웃기네
